Year,Number,Household Type,Indicator
2019,"12,577",Total Households,Total Households on Waitlist
2020,"12,571",Total Households,Total Households on Waitlist
2021,"12,106",Total Households,Total Households on Waitlist
2022,"11,065",Total Households,Total Households on Waitlist
2023,"12,447",Total Households,Total Households on Waitlist
2024,"15,140",Total Households,Total Households on Waitlist
2019,798,2+ Adults,Clients on Waitlist by Household Composition
2020,799,2+ Adults,Clients on Waitlist by Household Composition
2021,721,2+ Adults,Clients on Waitlist by Household Composition
2022,695,2+ Adults,Clients on Waitlist by Household Composition
2023,833,2+ Adults,Clients on Waitlist by Household Composition
2024,896,2+ Adults,Clients on Waitlist by Household Composition
2019,"4,534",Single Adult,Clients on Waitlist by Household Composition
2020,"4,675",Single Adult,Clients on Waitlist by Household Composition
2021,"4,297",Single Adult,Clients on Waitlist by Household Composition
2022,"3,983",Single Adult,Clients on Waitlist by Household Composition
2023,"4,664",Single Adult,Clients on Waitlist by Household Composition
2024,"6,092",Single Adult,Clients on Waitlist by Household Composition
2019,"2,436",Single parent,Clients on Waitlist by Household Composition
2020,"2,326",Single parent,Clients on Waitlist by Household Composition
2021,"2,277",Single parent,Clients on Waitlist by Household Composition
2022,"2,202",Single parent,Clients on Waitlist by Household Composition
2023,"2,409",Single parent,Clients on Waitlist by Household Composition
2024,"3,019",Single parent,Clients on Waitlist by Household Composition
2019,"2,021",Households with Children,Clients on Waitlist by Household Composition
2020,"2,103",Households with Children,Clients on Waitlist by Household Composition
2021,"2,005",Households with Children,Clients on Waitlist by Household Composition
2022,"1,831",Households with Children,Clients on Waitlist by Household Composition
2023,"2,098",Households with Children,Clients on Waitlist by Household Composition
2024,"2,442",Households with Children,Clients on Waitlist by Household Composition
2019,"2,788",Senior,Clients on Waitlist by Household Composition
2020,"2,668",Senior,Clients on Waitlist by Household Composition
2021,"2,806",Senior,Clients on Waitlist by Household Composition
2022,"2,354",Senior,Clients on Waitlist by Household Composition
2023,"2,443",Senior,Clients on Waitlist by Household Composition
2024,"2,691",Senior,Clients on Waitlist by Household Composition
2019,"2,852",Bachelor Unit,Clients on Waitlist by Unit Size
2020,2981,Bachelor Unit,Clients on Waitlist by Unit Size
2021,"2,794",Bachelor Unit,Clients on Waitlist by Unit Size
2022,"2,497",Bachelor Unit,Clients on Waitlist by Unit Size
2023,"3,012",Bachelor Unit,Clients on Waitlist by Unit Size
2024,"4,131",Bachelor Unit,Clients on Waitlist by Unit Size
2019,"7,592",One Bedroom Unit,Clients on Waitlist by Unit Size
2020,7627,One Bedroom Unit,Clients on Waitlist by Unit Size
2021,"7,323",One Bedroom Unit,Clients on Waitlist by Unit Size
2022,"6,588",One Bedroom Unit,Clients on Waitlist by Unit Size
2023,"7,362",One Bedroom Unit,Clients on Waitlist by Unit Size
2024,"8,942",One Bedroom Unit,Clients on Waitlist by Unit Size
2019,"2,036",Two Bedroom Unit,Clients on Waitlist by Unit Size
2020,1969,Two Bedroom Unit,Clients on Waitlist by Unit Size
2021,"1,803",Two Bedroom Unit,Clients on Waitlist by Unit Size
2022,"1,675",Two Bedroom Unit,Clients on Waitlist by Unit Size
2023,"1,985",Two Bedroom Unit,Clients on Waitlist by Unit Size
2024,"2,365",Two Bedroom Unit,Clients on Waitlist by Unit Size
2019,"2,652",Three Bedroom Unit,Clients on Waitlist by Unit Size
2020,2613,Three Bedroom Unit,Clients on Waitlist by Unit Size
2021,"2,450",Three Bedroom Unit,Clients on Waitlist by Unit Size
2022,"2,292",Three Bedroom Unit,Clients on Waitlist by Unit Size
2023,"2,461",Three Bedroom Unit,Clients on Waitlist by Unit Size
2024,"3,002",Three Bedroom Unit,Clients on Waitlist by Unit Size
2019,"1,988",Four Bedroom Unit,Clients on Waitlist by Unit Size
2020,1967,Four Bedroom Unit,Clients on Waitlist by Unit Size
2021,"1,928",Four Bedroom Unit,Clients on Waitlist by Unit Size
2022,"1,796",Four Bedroom Unit,Clients on Waitlist by Unit Size
2023,"1,964",Four Bedroom Unit,Clients on Waitlist by Unit Size
2024,"2,341",Four Bedroom Unit,Clients on Waitlist by Unit Size
2019,968,Five Bedroom Unit,Clients on Waitlist by Unit Size
2020,989,Five Bedroom Unit,Clients on Waitlist by Unit Size
2021,987,Five Bedroom Unit,Clients on Waitlist by Unit Size
2022,929,Five Bedroom Unit,Clients on Waitlist by Unit Size
2023,"1,020",Five Bedroom Unit,Clients on Waitlist by Unit Size
2024,"1,182",Five Bedroom Unit,Clients on Waitlist by Unit Size
