Date,CPI All-items,CPI Food ,CPI Shelter 
2025-03-01,163.50,193.80,187.00
2025-03-01,166.00,,198.60
2025-02-01,163.00,190.50,186.70
2025-02-01,165.00,,197.00
2025-01-01,161.30,187.00,186.40
2025-01-01,163.10,,197.40
2024-12-01,161.20,188.00,185.80
2024-12-01,162.70,,195.10
2024-11-01,161.80,191.50,185.30
2024-11-01,164.00,,195.20
2024-10-01,161.80,190.50,184.80
2024-10-01,163.70,,193.70
2024-09-01,161.10,190.30,183.50
2024-09-01,163.50,,194.40
2024-08-01,161.80,190.30,183.30
2024-08-01,164.00,,194.60
2024-07-01,162.10,190.50,182.50
2024-07-01,164.30,,193.30
2024-06-01,161.40,190.00,182.10
2024-06-01,163.50,,192.80
2024-05-01,161.50,189.00,181.50
2024-05-01,163.50,,192.10
2024-04-01,160.60,187.40,180.80
2024-04-01,162.60,,191.30
2024-03-01,159.80,187.80,179.90
2024-03-01,161.70,,190.00
2024-02-01,158.80,188.10,179.20
2024-02-01,160.00,,187.50
2024-01-01,158.30,188.10,178.40
2024-01-01,159.80,,187.10
2023-12-01,158.30,186.80,177.80
2023-12-01,159.80,,186.00
2023-11-01,158.80,186.20,177.10
2023-11-01,160.90,,185.90
2023-10-01,158.60,185.00,176.30
2023-10-01,160.30,,184.40
2023-09-01,158.50,185.20,174.80
2023-09-01,159.60,,182.80
2023-08-01,158.70,185.30,174.00
2023-08-01,160.20,,183.70
2023-07-01,158.10,185.50,172.60
2023-07-01,160.40,,184.40
2023-06-01,157.20,184.80,171.40
2023-06-01,159.20,,183.70
2023-05-01,157.00,184.60,170.60
2023-05-01,159.20,,181.40
2023-04-01,156.40,183.10,169.90
2023-04-01,158.70,,181.60
2023-03-01,155.30,182.40,168.90
2023-03-01,158.30,,181.90
2023-02-01,154.50,182.10,168.30
2023-02-01,157.10,,180.40
2023-01-01,153.90,181.00,168.00
2023-01-01,156.70,,181.50
2022-12-01,153.10,177.90,167.80
2022-12-01,155.70,,180.20
2022-11-01,154.00,177.30,167.20
2022-11-01,156.40,,180.00
2022-10-01,153.80,175.20,166.20
2022-10-01,156.30,,179.10
2022-09-01,152.70,174.80,164.90
2022-09-01,155.10,,177.40
2022-08-01,152.60,173.50,164.10
2022-08-01,155.20,,177.30
2022-07-01,153.10,172.10,164.20
2022-07-01,155.30,,176.20
2022-06-01,152.90,170.60,163.60
2022-06-01,154.30,,172.60
2022-05-01,151.90,170.40,163.00
2022-05-01,153.80,,172.70
2022-04-01,149.80,169.00,161.90
2022-04-01,151.60,,171.20
2022-03-01,148.90,167.50,160.20
2022-03-01,151.10,,170.70
2022-02-01,146.80,166.00,158.60
2022-02-01,149.00,,168.20
2022-01-01,145.30,163.90,157.60
2022-01-01,147.80,,167.70
2021-12-01,144.00,161.60,156.80
2021-12-01,146.40,,167.30
2021-11-01,144.20,160.70,155.90
2021-11-01,146.80,,167.20
2021-10-01,143.90,159.20,155.40
2021-10-01,146.50,,166.60
2021-09-01,142.90,158.50,154.40
2021-09-01,145.20,,164.80
2021-08-01,142.60,158.00,153.90
2021-08-01,144.70,,163.40
2021-07-01,142.30,157.60,153.50
2021-07-01,144.60,,163.80
2021-06-01,141.40,156.80,152.80
2021-06-01,143.30,,161.60
2021-05-01,141.00,156.60,151.70
2021-05-01,142.90,,160.50
2021-04-01,140.30,155.40,150.70
2021-04-01,141.90,,158.50
2021-03-01,139.60,155.50,150.00
2021-03-01,140.60,,155.20
2021-02-01,138.90,155.60,148.80
2021-02-01,140.20,,155.00
2021-01-01,138.20,155.00,148.40
2021-01-01,139.50,,153.90
2020-12-01,137.40,153.60,148.70
2020-12-01,138.90,,155.90
2020-11-01,137.70,153.90,148.70
2020-11-01,139.10,,156.40
2020-10-01,137.50,153.30,148.30
2020-10-01,138.80,,155.40
2020-09-01,136.90,152.60,147.30
2020-09-01,137.90,,152.60
2020-08-01,137.00,153.80,146.80
2020-08-01,138.10,,151.30
2020-07-01,137.20,155.00,146.40
2020-07-01,138.20,,150.10
2020-06-01,137.20,154.80,146.40
2020-06-01,137.60,,148.70
2020-05-01,136.10,154.30,145.60
2020-05-01,136.50,,146.90
2020-04-01,135.70,154.00,146.00
2020-04-01,136.30,,147.20
2020-03-01,136.60,152.80,146.50
2020-03-01,136.90,,148.50
2020-02-01,137.40,152.90,146.70
2020-02-01,137.70,,148.60
2020-01-01,136.80,153.50,146.40
2020-01-01,137.00,,147.70
2019-12-01,136.40,151.90,146.30
2019-12-01,137.00,,148.40
2019-11-01,136.40,151.10,145.90
2019-11-01,136.70,,147.50
2019-10-01,136.60,149.90,145.70
2019-10-01,136.50,,145.90
2019-09-01,136.20,150.20,144.80
2019-09-01,136.20,,145.30
2019-08-01,136.80,151.10,144.60
2019-08-01,136.90,,144.50
2019-07-01,137.00,151.60,144.30
2019-07-01,137.00,,143.40
2019-06-01,136.30,150.70,144.00
2019-06-01,136.00,,141.90
2019-05-01,136.60,149.70,144.20
2019-05-01,136.10,,141.60
2019-04-01,136.00,149.00,144.10
2019-04-01,135.20,,140.60
2019-03-01,135.40,149.40,143.80
2019-03-01,135.00,,140.90
2019-02-01,134.50,149.30,143.40
2019-02-01,134.30,,141.70
2019-01-01,133.60,148.70,143.00
2019-01-01,133.50,,140.90
