Year,Number,Percentage of Total Waitlist,Percentage of Annual Total Housed,Chart Type,Household Type
2019,"1,487",0.12,,Total Households Housed,All
2019,97,,0.07,Household Composition,2+ Adults
2019,440,,0.3,Household Composition,Single Adult
2019,537,,0.36,Household Composition,Single Parent
2019,142,,0.1,Household Composition,Households with Children
2019,271,,0.18,Household Composition,Senior
2020,"1,086",0.09,,Total Households Housed,All
2020,79,,0.07,Household Composition,2+ Adults
2020,332,,0.31,Household Composition,Single Adult
2020,385,,0.35,Household Composition,Single Parent
2020,77,,0.07,Household Composition,Households with Children
2020,213,,0.2,Household Composition,Senior
2021,"1,554",0.13,,Total Households Housed,All
2021,87,,0.06,Household Composition,2+ Adults
2021,439,,0.28,Household Composition,Single Adult
2021,527,,0.34,Household Composition,Single Parent
2021,140,,0.09,Household Composition,Households with Children
2021,361,,0.23,Household Composition,Senior
2022,"1,230",0.11,,Total Households Housed,All
2022,71,,0.06,Household Composition,2+ Adults
2022,398,,0.32,Household Composition,Single Adult
2022,383,,0.31,Household Composition,Single Parent
2022,74,,0.06,Household Composition,Households with Children
2022,304,,0.25,Household Composition,Senior
2023,"1,186",0.1,,Total Households Housed,All
2023,62,,0.05,Household Composition,2+ Adults
2023,442,,0.37,Household Composition,Single Adult
2023,330,,0.28,Household Composition,Single Parent
2023,71,,0.06,Household Composition,Households with Children
2023,281,,0.24,Household Composition,Senior
2024,"1,155",0.08,,Total Households Housed,All
2024,64,,0.06,Household Composition,2+ Adults
2024,403,,0.35,Household Composition,Single Adult
2024,332,,0.29,Household Composition,Single Parent
2024,60,,0.05,Household Composition,Households with Children
2024,296,,0.26,Household Composition,Senior
