Year,Chart Type,Indicator,Number,Percentage of Total
2014,Housing Completions,Completions - Single,"1,713",
2014,Housing Completions,Completions - Semi-Detached,304,
2014,Housing Completions,Completions - Row,"1,431",
2014,Housing Completions,Completions - Apartment,"3,096",
2014,Housing Completions,Completions - All,"6,544",
2014,Housing Under Construction,Under construction - Single,905,
2014,Housing Under Construction,Under construction - Semi-Detached,157,
2014,Housing Under Construction,Under construction - Row,"1,401",
2014,Housing Under Construction,Under construction - Apartment,"3,313",
2014,Housing Under Construction,Under construction - All,"5,776",
2014,Housing Starts,Starts- Single,"1,616",
2014,Housing Starts,Starts - Semi-Detached,259,
2014,Housing Starts,Starts - Row,"1,686",
2014,Housing Starts,Starts - Apartment,"1,976",
2014,Housing Starts,Starts - All,"5,537",
2014,Housing Starts,Starts - Single %,,0.291854795
2014,Housing Starts,Starts- Semi-Detached %,,0.046776233
2014,Housing Starts,Starts - Row %,,0.30449702
2014,Housing Starts,Starts - Apartment %,,0.356871952
2015,Housing Completions,Completions - Single,"1,467",
2015,Housing Completions,Completions - Semi-Detached,210,
2015,Housing Completions,Completions - Row,"1,511",
2015,Housing Completions,Completions - Apartment,"2,457",
2015,Housing Completions,Completions - All,"5,645",
2015,Housing Under Construction,Under construction - Single,"1,256",
2015,Housing Under Construction,Under construction - Semi-Detached,112,
2015,Housing Under Construction,Under construction - Row,"1,197",
2015,Housing Under Construction,Under construction - Apartment,"2,264",
2015,Housing Under Construction,Under construction - All,"4,829",
2015,Housing Starts,Starts- Single,"1,820",
2015,Housing Starts,Starts - Semi-Detached,163,
2015,Housing Starts,Starts - Row,"1,308",
2015,Housing Starts,Starts - Apartment,"1,405",
2015,Housing Starts,Starts - All,"4,696",
2015,Housing Starts,Starts - Single %,,0.387563884
2015,Housing Starts,Starts- Semi-Detached %,,0.034710392
2015,Housing Starts,Starts - Row %,,0.278534923
2015,Housing Starts,Starts - Apartment %,,0.299190801
2016,Housing Completions,Completions - Single,"1,886",
2016,Housing Completions,Completions - Semi-Detached,168,
2016,Housing Completions,Completions - Row,"1,511",
2016,Housing Completions,Completions - Apartment,"1,220",
2016,Housing Completions,Completions - All,"4,785",
2016,Housing Under Construction,Under construction - Single,"1,174",
2016,Housing Under Construction,Under construction - Semi-Detached,154,
2016,Housing Under Construction,Under construction - Row,"1,462",
2016,Housing Under Construction,Under construction - Apartment,"2,270",
2016,Housing Under Construction,Under construction - All,"5,060",
2016,Housing Starts,Starts- Single,"1,809",
2016,Housing Starts,Starts - Semi-Detached,202,
2016,Housing Starts,Starts - Row,"1,764",
2016,Housing Starts,Starts - Apartment,"1,244",
2016,Housing Starts,Starts - All,"5,019",
2016,Housing Starts,Starts - Single %,,0.360430365
2016,Housing Starts,Starts- Semi-Detached %,,0.040247061
2016,Housing Starts,Starts - Row %,,0.351464435
2016,Housing Starts,Starts - Apartment %,,0.247858139
2017,Housing Completions,Completions - Single,"1,745",
2017,Housing Completions,Completions - Semi-Detached,232,
2017,Housing Completions,Completions - Row,"1,786",
2017,Housing Completions,Completions - Apartment,"1,192",
2017,Housing Completions,Completions - All,"4,955",
2017,Housing Under Construction,Under construction - Single,"1,388",
2017,Housing Under Construction,Under construction - Semi-Detached,166,
2017,Housing Under Construction,Under construction - Row,"1,534",
2017,Housing Under Construction,Under construction - Apartment,"3,871",
2017,Housing Under Construction,Under construction - All,"6,959",
2017,Housing Starts,Starts- Single,"1,970",
2017,Housing Starts,Starts - Semi-Detached,225,
2017,Housing Starts,Starts - Row,"1,859",
2017,Housing Starts,Starts - Apartment,"2,795",
2017,Housing Starts,Starts - All,"6,849",
2017,Housing Starts,Starts - Single %,,0.287633231
2017,Housing Starts,Starts- Semi-Detached %,,0.032851511
2017,Housing Starts,Starts - Row %,,0.271426486
2017,Housing Starts,Starts - Apartment %,,0.408088772
2018,Housing Completions,Completions - Single,"2,182",
2018,Housing Completions,Completions - Semi-Detached,286,
2018,Housing Completions,Completions - Row,"1,902",
2018,Housing Completions,Completions - Apartment,"1,832",
2018,Housing Completions,Completions - All,"6,202",
2018,Housing Under Construction,Under construction - Single,"1,527",
2018,Housing Under Construction,Under construction - Semi-Detached,188,
2018,Housing Under Construction,Under construction - Row,"1,528",
2018,Housing Under Construction,Under construction - Apartment,"4,439",
2018,Housing Under Construction,Under construction - All,"7,682",
2018,Housing Starts,Starts- Single,"2,320",
2018,Housing Starts,Starts - Semi-Detached,310,
2018,Housing Starts,Starts - Row,"1,906",
2018,Housing Starts,Starts - Apartment,"2,414",
2018,Housing Starts,Starts - All,"6,950",
2018,Housing Starts,Starts - Single %,,0.33381295
2018,Housing Starts,Starts- Semi-Detached %,,0.044604317
2018,Housing Starts,Starts - Row %,,0.274244604
2018,Housing Starts,Starts - Apartment %,,0.347338129
2019,Housing Completions,Completions - Single,"2,071",
2019,Housing Completions,Completions - Semi-Detached,194,
2019,Housing Completions,Completions - Row,"1,694",
2019,Housing Completions,Completions - Apartment,"1,364",
2019,Housing Completions,Completions - All,"5,323",
2019,Housing Under Construction,Under construction - Single,"1,663",
2019,Housing Under Construction,Under construction - Semi-Detached,192,
2019,Housing Under Construction,Under construction - Row,"2,194",
2019,Housing Under Construction,Under construction - Apartment,"5,371",
2019,Housing Under Construction,Under construction - All,"9,420",
2019,Housing Starts,Starts- Single,"2,211",
2019,Housing Starts,Starts - Semi-Detached,200,
2019,Housing Starts,Starts - Row,"2,376",
2019,Housing Starts,Starts - Apartment,"2,282",
2019,Housing Starts,Starts - All,"7,069",
2019,Housing Starts,Starts - Single %,,0.312774084
2019,Housing Starts,Starts- Semi-Detached %,,0.028292545
2019,Housing Starts,Starts - Row %,,0.336115434
2019,Housing Starts,Starts - Apartment %,,0.322817937
2020,Housing Completions,Completions - Single,"2,109",
2020,Housing Completions,Completions - Semi-Detached,208,
2020,Housing Completions,Completions - Row,"2,326",
2020,Housing Completions,Completions - Apartment,"2,452",
2020,Housing Completions,Completions - All,"7,095",
2020,Housing Under Construction,Under construction - Single,"1,990",
2020,Housing Under Construction,Under construction - Semi-Detached,231,
2020,Housing Under Construction,Under construction - Row,"2,551",
2020,Housing Under Construction,Under construction - Apartment,"6,773",
2020,Housing Under Construction,Under construction - All,"11,545",
2020,Housing Starts,Starts- Single,"2,439",
2020,Housing Starts,Starts - Semi-Detached,251,
2020,Housing Starts,Starts - Row,"2,733",
2020,Housing Starts,Starts - Apartment,"3,816",
2020,Housing Starts,Starts - All,"9,239",
2020,Housing Starts,Starts - Single %,,0.263989609
2020,Housing Starts,Starts- Semi-Detached %,,0.027167442
2020,Housing Starts,Starts - Row %,,0.295811235
2020,Housing Starts,Starts - Apartment %,,0.413031713
2021,Housing Completions,Completions - Single,"2,420",
2021,Housing Completions,Completions - Semi-Detached,198,
2021,Housing Completions,Completions - Row,"2,526",
2021,Housing Completions,Completions - Apartment,"2,794",
2021,Housing Completions,Completions - All,"7,938",
2021,Housing Under Construction,Under construction - Single,"2,341",
2021,Housing Under Construction,Under construction - Semi-Detached,230,
2021,Housing Under Construction,Under construction - Row,"2,736",
2021,Housing Under Construction,Under construction - Apartment,"7,705",
2021,Housing Under Construction,Under construction - All,"13,012",
2021,Housing Starts,Starts- Single,"2,775",
2021,Housing Starts,Starts - Semi-Detached,215,
2021,Housing Starts,Starts - Row,"2,622",
2021,Housing Starts,Starts - Apartment,"3,790",
2021,Housing Starts,Starts - All,"9,402",
2021,Housing Starts,Starts - Single %,,0.295149968
2021,Housing Starts,Starts- Semi-Detached %,,0.022867475
2021,Housing Starts,Starts - Row %,,0.278876835
2021,Housing Starts,Starts - Apartment %,,0.403105722
2022,Housing Completions,Completions - Single,"2,232",
2022,Housing Completions,Completions - Semi-Detached,175,
2022,Housing Completions,Completions - Row,"2,407",
2022,Housing Completions,Completions - Apartment,"2,854",
2022,Housing Completions,Completions - All,"7,668",
2022,Housing Under Construction,Under construction - Single,"2,211",
2022,Housing Under Construction,Under construction - Semi-Detached,232,
2022,Housing Under Construction,Under construction - Row,"2,611",
2022,Housing Under Construction,Under construction - Apartment,"10,410",
2022,Housing Under Construction,Under construction - All,"15,464",
2022,Housing Starts,Starts- Single,"2,105",
2022,Housing Starts,Starts - Semi-Detached,194,
2022,Housing Starts,Starts - Row,"2,315",
2022,Housing Starts,Starts - Apartment,"5,463",
2022,Housing Starts,Starts - All,"10,077",
2022,Housing Starts,Starts - Single %,,0.208891535
2022,Housing Starts,Starts- Semi-Detached %,,0.019251761
2022,Housing Starts,Starts - Row %,,0.229731071
2022,Housing Starts,Starts - Apartment %,,0.542125633
2023,Housing Completions,Completions - Single,"2,188",
2023,Housing Completions,Completions - Semi-Detached,212,
2023,Housing Completions,Completions - Row,"2,337",
2023,Housing Completions,Completions - Apartment,"3,153",
2023,Housing Completions,Completions - All,"7,890",
2023,Housing Under Construction,Under construction - Single,"1,227",
2023,Housing Under Construction,Under construction - Semi-Detached,128,
2023,Housing Under Construction,Under construction - Row,"1,876",
2023,Housing Under Construction,Under construction - Apartment,"12,943",
2023,Housing Under Construction,Under construction - All,"16,174",
2023,Housing Starts,Starts- Single,"1,211",
2023,Housing Starts,Starts - Semi-Detached,114,
2023,Housing Starts,Starts - Row,"1,574",
2023,Housing Starts,Starts - Apartment,"5,733",
2023,Housing Starts,Starts - All,"8,632",
2023,Housing Starts,Starts - Single %,,0.140291937
2023,Housing Starts,Starts- Semi-Detached %,,0.013206673
2023,Housing Starts,Starts - Row %,,0.182344764
2023,Housing Starts,Starts - Apartment %,,0.664156627
2024,Housing Completions,Completions - Single,"1,282",
2024,Housing Completions,Completions - Semi-Detached,109,
2024,Housing Completions,Completions - Row,"2,052",
2024,Housing Completions,Completions - Apartment,"5,351",
2024,Housing Completions,Completions - All,"8,794",
2024,Housing Under Construction,Under construction - Single,"1,047",
2024,Housing Under Construction,Under construction - Semi-Detached,122,
2024,Housing Under Construction,Under construction - Row,"1,752",
2024,Housing Under Construction,Under construction - Apartment,"11,265",
2024,Housing Under Construction,Under construction - All,"14,186",
2024,Housing Starts,Starts- Single,"1,104",
2024,Housing Starts,Starts - Semi-Detached,108,
2024,Housing Starts,Starts - Row,"1,911",
2024,Housing Starts,Starts - Apartment,"3,677",
2024,Housing Starts,Starts - All,"6,800",
2024,Housing Starts,Starts - Single %,,0.162352941
2024,Housing Starts,Starts- Semi-Detached %,,0.015882353
2024,Housing Starts,Starts - Row %,,0.281029412
2024,Housing Starts,Starts - Apartment %,,0.540735294
