Year,Number,Percentage of Total People Surveyed,Population Group,Data Source,Type of Homelessness Experienced
2018,"1,654",1.000,All,Point in Time Count,All experiences of homelessness
2021,"2,612",1.000,All,Point in Time Count,All experiences of homelessness
2024,"2,952",1.000,All,Point in Time Count,All experiences of homelessness
2018,335,0.240,Indigenous,Point in Time Count,All experiences of homelessness
2021,428,0.320,Indigenous,Point in Time Count,All experiences of homelessness
2024,479,0.190,Indigenous,Point in Time Count,All experiences of homelessness
2018,673,0.481,Racialized,Point in Time Count,All experiences of homelessness
2021,732,0.546,Racialized,Point in Time Count,All experiences of homelessness
2024,"1,458",0.562,Racialized,Point in Time Count,All experiences of homelessness
2018,336,0.240,Newcomers,Point in Time Count,All experiences of homelessness
2021,268,0.200,Newcomers,Point in Time Count,All experiences of homelessness
2024,"1,101",0.420,Newcomers,Point in Time Count,All experiences of homelessness
2018,125,0.089,2SLGBTQQIA+,Point in Time Count,All experiences of homelessness
2021,153,0.114,2SLGBTQQIA+,Point in Time Count,All experiences of homelessness
2024,285,0.109,2SLGBTQQIA+,Point in Time Count,All experiences of homelessness
2018,70,0.050,Veterans,Point in Time Count,All experiences of homelessness
2021,54,0.040,Veterans,Point in Time Count,All experiences of homelessness
2024,94,0.040,Veterans,Point in Time Count,All experiences of homelessness
2019,702,,Single men,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2019,270,,Single women,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2019,68,,Single youth,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2019,468,,Families,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2020,694,,Single men,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2020,287,,Single women,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2020,66,,Single youth,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2020,526,,Families,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2021,635,,Single men,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2021,255,,Single women,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2021,65,,Single youth,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2021,407,,Families,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2022,720,,Single men,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2022,251,,Single women,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2022,63,,Single youth,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2022,368,,Families,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2023,719,,Single men,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2023,261,,Single women,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2023,61,,Single youth,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2023,430,,Families,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2024,951,,Single men,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2024,454,,Single women,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2024,75,,Single youth,Homeless Individuals and Families Information System,Experiences of chronic homelessness
2024,540,,Families,Homeless Individuals and Families Information System,Experiences of chronic homelessness
