Year,Dwelling Type,Number of Occupied Dwellings,Period of Construction,Percentage of Total Occupied Dwellings
2021,Single-detached,"169,760",All,0.41684469
2021,Row House,"87,045",All,0.21373849
2021,Apartment (five or more stories),"76,895",All,0.188815224
2021,Apartment (fewer than five stories),"43,025",All,0.105647637
2021,Semi-detached house,"21,675",All,0.053222836
2021,Apartment or flat in a duplex,"7,595",All,0.018649478
2021,Movable Dwelling,795,All,0.001952118
2021,Other Single-attached,460,All,0.001129527
2021,All,"64,815",1960 or Before,0.159
2021,All,"115,070",1961 to 1980,0.283
2021,All,"63,195",1981 to 1990,0.155
2021,All,"46,095",1991 to 2000,0.113
2021,All,"28,865",2001 to 2005,0.071
2021,All,"29,380",2006 to 2010,0.072
2021,All,"28,490",2011 to 2015,0.07
2021,All,"31,355",2016 to 2021,0.077
