Year,Number,Percentage of New Applications,Percentage of Total Waitlist,Chart Type,Household Type
2019,"4,708",,0.374,Total New Applications,All
2019,,0.07,,New Applications by Household Composition,2+ Adults
2019,,0.40,,New Applications by Household Composition,Single Adult
2019,,0.25,,New Applications by Household Composition,Single Parent
2019,,0.12,,New Applications by Household Composition,Households with Children
2019,,0.16,,New Applications by Household Composition,Senior
2020,"3,295",,0.262,Total New Applications,All
2020,,0.06,,New Applications by Household Composition,2+ Adults
2020,,0.42,,New Applications by Household Composition,Single Adult
2020,,0.25,,New Applications by Household Composition,Single Parent
2020,,0.12,,New Applications by Household Composition,Households with Children
2020,,0.15,,New Applications by Household Composition,Senior
2021,"3,674",,0.303,Total New Applications,All
2021,,0.07,,New Applications by Household Composition,2+ Adults
2021,,0.39,,New Applications by Household Composition,Single Adult
2021,,0.25,,New Applications by Household Composition,Single Parent
2021,,0.11,,New Applications by Household Composition,Households with Children
2021,,0.18,,New Applications by Household Composition,Senior
2022,"3,875",,0.35,Total New Applications,All
2022,,0.07,,New Applications by Household Composition,2+ Adults
2022,,0.40,,New Applications by Household Composition,Single Adult
2022,,0.26,,New Applications by Household Composition,Single Parent
2022,,0.12,,New Applications by Household Composition,Households with Children
2022,,0.15,,New Applications by Household Composition,Senior
2023,"4,732",,0.38,Total New Applications,All
2023,,0.06,,New Applications by Household Composition,2+ Adults
2023,,0.46,,New Applications by Household Composition,Single Adult
2023,,0.21,,New Applications by Household Composition,Single Parent
2023,,0.12,,New Applications by Household Composition,Households with Children
2023,,0.15,,New Applications by Household Composition,Senior
2024,"5,508",,0.364,Total New Applications,All
2024,,0.05,,New Applications by Household Composition,2+ Adults
2024,,0.51,,New Applications by Household Composition,Single Adult
2024,,0.21,,New Applications by Household Composition,Single Parent
2024,,0.11,,New Applications by Household Composition,Households with Children
2024,,0.12,,New Applications by Household Composition,Senior
