Year,Age Group,Population Percentage,Gender
2006,0 to 14 Years,0.176,All
2006,15 to 64 Years,0.7,All
2006,65 Years and Older,0.124,All
2011,0 to 14 Years,0.168,All
2011,15 to 64 Years,0.7,All
2011,65 Years and Older,0.132,All
2016,0 to 14 Years,0.167,All
2016,15 to 64 Years,0.679,All
2016,65 Years and Older,0.154,All
2021,0 to 14 Years,0.164,All
2021,15 to 64 Years,0.667,All
2021,65 Years and Older,0.169,All
2021,0 to 14 Years,0.171,Men+
2021,0 to 14 Years,0.157,Women+
2021,15 to 24 Years,0.134,Men+
2021,15 to 24 Years,0.124,Women+
2021,25 to 34 Years,0.144,Men+
2021,25 to 34 Years,0.138,Women+
2021,35 to 44 Years,0.132,Men+
2021,35 to 44 Years,0.134,Women+
2021,45 to 54 Years,0.13,Men+
2021,45 to 54 Years,0.132,Women+
2021,55 to 64 Years,0.133,Men+
2021,55 to 64 Years,0.133,Women+
2021,65 Years and Older,0.157,Men+
2021,65 Years and Older,0.181,Women+
