Year,Average Length of Stay (Days),Population Group
2019,54,Single adult men
2019,53,Single adult women
2019,51,Single youth
2019,136,Families
2019,100,Overall average
2020,62,Single adult men
2020,56,Single adult women
2020,61,Single youth
2020,179,Families
2020,122,Overall average
2021,65,Single adult men
2021,57,Single adult women
2021,59,Single youth
2021,139,Families
2021,103,Overall average
2022,68,Single adult men
2022,59,Single adult women
2022,62,Single youth
2022,129,Families
2022,100,Overall average
2023,60,Single adult men
2023,53,Single adult women
2023,67,Single youth
2023,135,Families
2023,96,Overall average
2024,77,Single adult men
2024,76,Single adult women
2024,91,Single youth
2024,140,Families
2024,109,Overall average
