Year,Number,Population Group,Shelter System Demand or Capacity?
2022,1238,Families,Demand (shelter beds occupied)
2023,1344,Families,Demand (shelter beds occupied)
2024,1606,Families,Demand (shelter beds occupied)
2022,835,Singles,Demand (shelter beds occupied)
2023,1053,Singles,Demand (shelter beds occupied)
2024,1565,Singles,Demand (shelter beds occupied)
2022,110,Youth,Demand (shelter beds occupied)
2023,115,Youth,Demand (shelter beds occupied)
2024,118,Youth,Demand (shelter beds occupied)
2022,140,Families,Capacity (shelter beds available)
2022,706,Singles,Capacity (shelter beds available)
2022,116,Youth,Capacity (shelter beds available)
2023,140,Families,Capacity (shelter beds available)
2023,1001,Singles,Capacity (shelter beds available)
2023,116,Youth,Capacity (shelter beds available)
2024,501,Families,Capacity (shelter beds available)
2024,1341,Singles,Capacity (shelter beds available)
2024,118,Youth,Capacity (shelter beds available)
2022,962,All,Capacity (shelter beds available)
2022,2134,All,Demand (shelter beds occupied)
2023,1257,All,Capacity (shelter beds available)
2023,2583,All,Demand (shelter beds occupied)
2024,1960,All,Capacity (shelter beds available)
2024,3377,All,Demand (shelter beds occupied)
2024,1715,Families,Demand (annual average nightly occupancy)
2024,1721,Singles,Demand (annual average nightly occupancy)
2024,118,Youth,Demand (annual average nightly occupancy)
