Year,Unit Type,Rent Range,Vacancy Rate,Healthy Vacancy Rate
2023,All,$0 - 750,,0.03
2023,All,$750 - $899,0.018,0.03
2023,All,$900 - $1049,0.031,0.03
2023,All,$1050 - $1199,0.027,0.03
2023,All,$1200 - $1349,0.022,0.03
2023,All,$1350+,0.017,0.03
2023,All,All,0.021,0.03
2024,All,$0 - 750,0,0.03
2024,All,$750 - $899,0.007,0.03
2024,All,$900 - $1049,0.007,0.03
2024,All,$1050 - $1199,0.004,0.03
2024,All,$1200 - $1349,0.01,0.03
2024,All,$1350+,0.029,0.03
2024,All,All,0.026,0.03
2006,All,All,0.025,0.03
2007,All,All,0.023,0.03
2008,All,All,0.015,0.03
2009,All,All,0.017,0.03
2010,All,All,0.017,0.03
2011,All,All,0.015,0.03
2012,All,All,0.027,0.03
2013,All,All,0.03,0.03
2014,All,All,0.028,0.03
2015,All,All,0.035,0.03
2016,All,All,0.031,0.03
2017,All,All,0.017,0.03
2018,All,All,0.016,0.03
2019,All,All,0.018,0.03
2020,All,All,0.038,0.03
2021,All,All,0.035,0.03
2022,All,All,0.022,0.03
2023,All,All,0.022,0.03
2024,All,All,0.026,0.03
